tier,target,seed,ood_family,cal_size,alpha,coverage,mean_width
tier1,ef,42,nitride,100,0.1,0.937973915680922,2.469391858530603
tier1,ef,42,nitride,100,0.2,0.8551713679102214,1.9616771807426263
tier1,ef,42,nitride,100,0.3,0.8092205034880194,1.7988850059308388
tier1,ef,42,halide,5,0.1,0.9330511037193832,3.4666996232806992
tier1,ef,42,halide,5,0.2,0.9330511037193832,3.4666996232806992
tier1,ef,42,halide,5,0.3,0.9330511037193832,3.4666996232806992
tier1,ef,42,halide,10,0.1,0.9330308529945553,3.4666996232806997
tier1,ef,42,halide,10,0.2,0.9330308529945553,3.4666996232806997
tier1,ef,42,halide,10,0.3,0.8434966727162735,2.9776726899689105
tier1,ef,42,halide,25,0.1,0.9501059642749016,3.610222158335082
tier1,ef,42,halide,25,0.2,0.8678776869512564,3.0983342217492176
tier1,ef,42,halide,25,0.3,0.8138661822585528,2.862674919904405
tier1,ef,42,halide,50,0.1,0.9369921164342025,3.5034434922596063
tier1,ef,42,halide,50,0.2,0.8076409945421468,2.8386912724987714
tier1,ef,42,halide,50,0.3,0.7503335354760461,2.592942233405803
tier1,ef,42,halide,100,0.1,0.9331508515815086,3.4666996232806992
tier1,ef,42,halide,100,0.2,0.8034671532846716,2.816760002423557
tier1,ef,42,halide,100,0.3,0.7504866180048662,2.592942233405803
tier1,bg,42,sulfide,5,0.1,0.9807772236076475,3.9266677000865524
tier1,bg,42,sulfide,5,0.2,0.9807772236076475,3.9266677000865524
tier1,bg,42,sulfide,5,0.3,0.9807772236076475,3.9266677000865524
tier1,bg,42,sulfide,10,0.1,0.9915791662334962,4.536933717903578
tier1,bg,42,sulfide,10,0.2,0.9915791662334962,4.536933717903578
tier1,bg,42,sulfide,10,0.3,0.9808711924316457,3.9266677000865524
tier1,bg,42,sulfide,25,0.1,0.9933361099541858,4.763913376852637
tier1,bg,42,sulfide,25,0.2,0.9885464389837567,4.2692344242466564
tier1,bg,42,sulfide,25,0.3,0.928259058725531,2.9869309862261773
tier1,bg,42,sulfide,50,0.1,0.9897692869819397,4.3944563703888395
tier1,bg,42,sulfide,50,0.2,0.9283850088735777,2.986930986226177
tier1,bg,42,sulfide,50,0.3,0.8011274663326026,1.9600912329252056
tier1,bg,42,sulfide,100,0.1,0.969356700598174,3.5601636867678925
tier1,bg,42,sulfide,100,0.2,0.8754328890754539,2.452388835765743
tier1,bg,42,sulfide,100,0.3,0.7743729667331305,1.817753464961427
tier1,bg,42,nitride,5,0.1,0.9563462400956795,4.969810358204844
tier1,bg,42,nitride,5,0.2,0.9563462400956795,4.969810358204844
tier1,bg,42,nitride,5,0.3,0.9563462400956795,4.969810358204844
tier1,bg,42,nitride,10,0.1,0.9563135846798324,4.969810358204845
tier1,bg,42,nitride,10,0.2,0.9563135846798324,4.969810358204845
tier1,bg,42,nitride,10,0.3,0.9400059844404548,4.4151328436499995
tier1,bg,42,nitride,25,0.1,0.9562153246363773,4.969810358204844
tier1,bg,42,nitride,25,0.2,0.9169290748238117,3.7830525031427644
tier1,bg,42,nitride,25,0.3,0.8593492277702804,2.891532926462784
tier1,bg,42,nitride,50,0.1,0.9756170981336544,6.068543327341095
tier1,bg,42,nitride,50,0.2,0.9008127633955448,3.4480772751041955
tier1,bg,42,nitride,50,0.3,0.8537025888019265,2.814884339753435
tier1,bg,42,nitride,100,0.1,0.9402487109493479,4.4151328436499995
tier1,bg,42,nitride,100,0.2,0.8574461631786473,2.867479220266409
tier1,bg,42,nitride,100,0.3,0.7505307855626328,2.0586028223603208
tier1,bg,42,halide,5,0.1,0.8936800725733293,5.500976969112902
tier1,bg,42,halide,5,0.2,0.8936800725733293,5.500976969112902
tier1,bg,42,halide,5,0.3,0.8936800725733293,5.500976969112902
tier1,bg,42,halide,10,0.1,0.9266787658802178,6.201837457199332
tier1,bg,42,halide,10,0.2,0.9266787658802178,6.201837457199332
tier1,bg,42,halide,10,0.3,0.8937084089534181,5.500976969112902
tier1,bg,42,halide,25,0.1,0.9870420829548895,9.074210453876008
tier1,bg,42,halide,25,0.2,0.8767181350287617,5.187118282010557
tier1,bg,42,halide,25,0.3,0.8084165909778989,4.2945214809290775
tier1,bg,42,halide,50,0.1,0.8935718617343845,5.500976969112902
tier1,bg,42,halide,50,0.2,0.8278350515463917,4.484297449995196
tier1,bg,42,halide,50,0.3,0.6984232868405094,3.2943658080610314
tier1,bg,42,halide,100,0.1,0.933272506082725,6.396794147077955
tier1,bg,42,halide,100,0.2,0.8770681265206812,5.187118282010557
tier1,bg,42,halide,100,0.3,0.8063868613138686,4.263421576281714
tier2,ef,42,sulfide,5,0.1,0.9198877805486284,1.1788439906454222
tier2,ef,42,sulfide,5,0.2,0.9198877805486284,1.1788439906454222
tier2,ef,42,sulfide,5,0.3,0.9198877805486284,1.1788439906454222
tier2,ef,42,sulfide,10,0.1,0.9436531864019129,1.3389607362477922
tier2,ef,42,sulfide,10,0.2,0.9436531864019129,1.3389607362477922
tier2,ef,42,sulfide,10,0.3,0.9199500987628652,1.1788439906454224
tier2,ef,42,sulfide,25,0.1,0.9435651811745106,1.3389607362477922
tier2,ef,42,sulfide,25,0.2,0.8807788421491045,1.0296614606085241
tier2,ef,42,sulfide,25,0.3,0.7825905872553103,0.7848745003024284
tier2,ef,42,sulfide,50,0.1,0.9437310784006682,1.3389607362477924
tier2,ef,42,sulfide,50,0.2,0.8809896648919512,1.0296614606085241
tier2,ef,42,sulfide,50,0.3,0.7828583359432091,0.7848745003024283
tier2,ef,42,sulfide,100,0.1,0.9503620526812887,1.3875721775552274
tier2,ef,42,sulfide,100,0.2,0.8830937139259104,1.03401156760488
tier2,ef,42,sulfide,100,0.3,0.7832931052576346,0.7848745003024283
tier2,ef,42,nitride,5,0.1,0.702945133801764,2.078761101131538
tier2,ef,42,nitride,5,0.2,0.702945133801764,2.078761101131538
tier2,ef,42,nitride,5,0.3,0.702945133801764,2.078761101131538
tier2,ef,42,nitride,10,0.1,0.9015559545182525,2.7713886300010744
tier2,ef,42,nitride,10,0.2,0.9015559545182525,2.7713886300010744
tier2,ef,42,nitride,10,0.3,0.7128964691801316,2.1032692621397584
tier2,ef,42,nitride,25,0.1,1.0,11.824643577933548
tier2,ef,42,nitride,25,0.2,0.9268256110361374,2.9639661003823434
tier2,ef,42,nitride,25,0.3,0.9020842705053231,2.7713886300010744
tier2,ef,42,nitride,50,0.1,0.9489765201685731,3.1979937993059218
tier2,ef,42,nitride,50,0.2,0.9021673690547862,2.7713886300010744
tier2,ef,42,nitride,50,0.3,0.8159241420830825,2.4024977143959063
tier2,ef,42,nitride,100,0.1,0.9493478920230513,3.1979937993059218
tier2,ef,42,nitride,100,0.2,0.8744313011828936,2.6164530115241504
tier2,ef,42,nitride,100,0.3,0.8168031543827722,2.4024977143959063
tier2,ef,42,halide,5,0.1,0.765358361774744,2.094555195752949
tier2,ef,42,halide,5,0.2,0.765358361774744,2.094555195752949
tier2,ef,42,halide,5,0.3,0.765358361774744,2.094555195752949
tier2,ef,42,halide,10,0.1,0.765286837773578,2.094555195752949
tier2,ef,42,halide,10,0.2,0.765286837773578,2.094555195752949
tier2,ef,42,halide,10,0.3,0.6125099067243797,1.6626525481214887
tier2,ef,42,halide,25,0.1,0.9921283866243593,3.74298064388749
tier2,ef,42,halide,25,0.2,0.8107151574322675,2.252826224321901
tier2,ef,42,halide,25,0.3,0.7690993409812058,2.108318850484004
tier2,ef,42,halide,50,0.1,0.8978182484874412,2.6005604604832158
tier2,ef,42,halide,50,0.2,0.8107315284483285,2.252826224321901
tier2,ef,42,halide,50,0.3,0.761596284299945,2.0818293526268685
tier2,ef,42,halide,100,0.1,0.9090909090909091,2.6627984588693083
tier2,ef,42,halide,100,0.2,0.8107644210139153,2.252826224321901
tier2,ef,42,halide,100,0.3,0.7043462269355728,1.9245501582682927
tier2,bg,42,sulfide,5,0.1,0.9432668329177057,3.2909273647573944
tier2,bg,42,sulfide,5,0.2,0.9432668329177057,3.2909273647573944
tier2,bg,42,sulfide,5,0.3,0.9432668329177057,3.2909273647573944
tier2,bg,42,sulfide,10,0.1,0.9432373427591225,3.2909273647573944
tier2,bg,42,sulfide,10,0.2,0.9432373427591225,3.2909273647573944
tier2,bg,42,sulfide,10,0.3,0.9397026717954049,3.228375799017516
tier2,bg,42,sulfide,25,0.1,0.9836526447313619,4.311315042767838
tier2,bg,42,sulfide,25,0.2,0.9434610578925448,3.2909273647573944
tier2,bg,42,sulfide,25,0.3,0.8857767596834653,2.6388780322254686
tier2,bg,42,sulfide,50,0.1,0.9519782858335943,3.427450255772087
tier2,bg,42,sulfide,50,0.2,0.9078191878066604,2.8323857385319684
tier2,bg,42,sulfide,50,0.3,0.8336987159411212,2.303227500981365
tier2,bg,42,sulfide,100,0.1,0.939867772064225,3.228375799017516
tier2,bg,42,sulfide,100,0.2,0.8616853814671004,2.4603129379433755
tier2,bg,42,sulfide,100,0.3,0.7999790114387658,2.133406972765293
tier2,bg,42,nitride,5,0.1,0.7370309463297952,2.3688556450068883
tier2,bg,42,nitride,5,0.2,0.7370309463297952,2.3688556450068883
tier2,bg,42,nitride,5,0.3,0.7370309463297952,2.3688556450068883
tier2,bg,42,nitride,10,0.1,0.8117893476959904,2.777726843301315
tier2,bg,42,nitride,10,0.2,0.8117893476959904,2.777726843301315
tier2,bg,42,nitride,10,0.3,0.7369838420107719,2.368855645006888
tier2,bg,42,nitride,25,0.1,0.8900884690358375,3.3938445249864495
tier2,bg,42,nitride,25,0.2,0.788873894137052,2.627756534349881
tier2,bg,42,nitride,25,0.3,0.7275453591243065,2.3194136120644737
tier2,bg,42,nitride,50,0.1,0.8901264298615292,3.3938445249864495
tier2,bg,42,nitride,50,0.2,0.7910897049969897,2.6407612329638215
tier2,bg,42,nitride,50,0.3,0.7277242624924745,2.3194136120644737
tier2,bg,42,nitride,100,0.1,0.8900515620260843,3.3938445249864495
tier2,bg,42,nitride,100,0.2,0.7887473460721869,2.627756534349881
tier2,bg,42,nitride,100,0.3,0.7144373673036093,2.2579744547670058
tier2,bg,42,halide,5,0.1,0.977450024378352,7.1123643550784825
tier2,bg,42,halide,5,0.2,0.977450024378352,7.1123643550784825
tier2,bg,42,halide,5,0.3,0.977450024378352,7.1123643550784825
tier2,bg,42,halide,10,0.1,0.977443150643175,7.1123643550784825
tier2,bg,42,halide,10,0.2,0.977443150643175,7.1123643550784825
tier2,bg,42,halide,10,0.3,0.8089373895019204,3.998935824013017
tier2,bg,42,halide,25,0.1,0.9774225042714181,7.1123643550784825
tier2,bg,42,halide,25,0.2,0.8553819868196241,4.504135105248215
tier2,bg,42,halide,25,0.3,0.792653160849402,3.8277915825458635
tier2,bg,42,halide,50,0.1,0.9131577339118744,5.311212908939892
tier2,bg,42,halide,50,0.2,0.8440994927580517,4.367215040711322
tier2,bg,42,halide,50,0.3,0.7874472896168184,3.7763573199870137
tier2,bg,42,halide,100,0.1,0.9131980628946239,5.311212908939892
tier2,bg,42,halide,100,0.2,0.8541040887635628,4.488371207236938
tier2,bg,42,halide,100,0.3,0.7877153190706798,3.7763573199870137
tier3,ef,42,sulfide,5,0.1,0.9251870324189526,3.0202670097351074
tier3,ef,42,sulfide,5,0.2,0.9251870324189526,3.0202670097351074
tier3,ef,42,sulfide,5,0.3,0.9251870324189526,3.0202670097351074
tier3,ef,42,sulfide,10,0.1,0.9251481442977441,3.0202670097351074
tier3,ef,42,sulfide,10,0.2,0.9251481442977441,3.0202670097351074
tier3,ef,42,sulfide,10,0.3,0.8155733444224972,2.6015076637268066
tier3,ef,42,sulfide,25,0.1,0.9314868804664723,3.056662082672119
tier3,ef,42,sulfide,25,0.2,0.9011870054144107,2.9148058891296387
tier3,ef,42,sulfide,25,0.3,0.8418367346938775,2.7002346515655518
tier3,ef,42,sulfide,50,0.1,0.9549013466958973,3.1904194355010986
tier3,ef,42,sulfide,50,0.2,0.9014510909280719,2.9148058891296387
tier3,ef,42,sulfide,50,0.3,0.7841110763127676,2.509036064147949
tier3,ef,42,sulfide,100,0.1,0.9228670374645818,3.011246681213379
tier3,ef,42,sulfide,100,0.2,0.8419561339070206,2.7002346515655518
tier3,ef,42,sulfide,100,0.3,0.7531745198866617,2.422166347503662
tier3,ef,42,nitride,5,0.1,0.8201524891613096,1.2364572286605835
tier3,ef,42,nitride,5,0.2,0.8201524891613096,1.2364572286605835
tier3,ef,42,nitride,5,0.3,0.8201524891613096,1.2364572286605835
tier3,ef,42,nitride,10,0.1,0.9488330341113106,2.0120317935943604
tier3,ef,42,nitride,10,0.2,0.9488330341113106,2.0120317935943604
tier3,ef,42,nitride,10,0.3,0.8201675643327349,1.2364572286605835
tier3,ef,42,nitride,25,0.1,0.9994002099265257,8.255728721618652
tier3,ef,42,nitride,25,0.2,0.9491677912730544,2.0120317935943604
tier3,ef,42,nitride,25,0.3,0.9422702054281001,1.9209729433059692
tier3,ef,42,nitride,50,0.1,0.9616195063214931,2.196085214614868
tier3,ef,42,nitride,50,0.2,0.9425045153521975,1.9209730625152588
tier3,ef,42,nitride,50,0.3,0.8059903672486454,1.187150001525879
tier3,ef,42,nitride,100,0.1,0.9443433424325144,1.9536632299423218
tier3,ef,42,nitride,100,0.2,0.8697300576281468,1.429526925086975
tier3,ef,42,nitride,100,0.3,0.7899605702153473,1.1402627229690552
tier3,ef,42,halide,5,0.1,0.9349259147263381,1.2021653652191162
tier3,ef,42,halide,5,0.2,0.9349259147263381,1.2021653652191162
tier3,ef,42,halide,5,0.3,0.9349259147263381,1.2021653652191162
tier3,ef,42,halide,10,0.1,0.9349062310949788,1.2021653652191162
tier3,ef,42,halide,10,0.2,0.9349062310949788,1.2021653652191162
tier3,ef,42,halide,10,0.3,0.7749546279491834,0.7569830417633057
tier3,ef,42,halide,25,0.1,0.9620950650923403,1.4340436458587646
tier3,ef,42,halide,25,0.2,0.8321525885558583,0.860318124294281
tier3,ef,42,halide,25,0.3,0.7851650015137753,0.7726322412490845
tier3,ef,42,halide,50,0.1,0.882292298362644,0.9900453090667725
tier3,ef,42,halide,50,0.2,0.8100060642813827,0.8159160614013672
tier3,ef,42,halide,50,0.3,0.7360218314129776,0.6901763677597046
tier3,ef,42,halide,100,0.1,0.8822384428223844,0.9900453090667725
tier3,ef,42,halide,100,0.2,0.7861922141119222,0.7747876644134521
tier3,ef,42,halide,100,0.3,0.7014598540145985,0.6446460485458374
tier3,bg,42,sulfide,5,0.1,0.8872610141313383,3.2089033126831055
tier3,bg,42,sulfide,5,0.2,0.8872610141313383,3.2089033126831055
tier3,bg,42,sulfide,5,0.3,0.8872610141313383,3.2089033126831055
tier3,bg,42,sulfide,10,0.1,0.9730741241293274,4.635772705078125
tier3,bg,42,sulfide,10,0.2,0.9730741241293274,4.635772705078125
tier3,bg,42,sulfide,10,0.3,0.8873063728038257,3.2089033126831055
tier3,bg,42,sulfide,25,0.1,0.9978134110787172,6.247952461242676
tier3,bg,42,sulfide,25,0.2,0.8873386089129529,3.2089033126831055
tier3,bg,42,sulfide,25,0.3,0.8309037900874635,2.6441917419433594
tier3,bg,42,sulfide,50,0.1,0.8955005741726694,3.3253209590911865
tier3,bg,42,sulfide,50,0.2,0.8307756550788182,2.6441917419433594
tier3,bg,42,sulfide,50,0.3,0.7085290740160768,1.7206858396530151
tier3,bg,42,sulfide,100,0.1,0.91268758526603,3.5498924255371094
tier3,bg,42,sulfide,100,0.2,0.8197082589988456,2.529609203338623
tier3,bg,42,sulfide,100,0.3,0.6464476860111239,1.3548011779785156
tier3,bg,42,nitride,5,0.1,0.9391538346539094,4.085730075836182
tier3,bg,42,nitride,5,0.2,0.9391538346539094,4.085730075836182
tier3,bg,42,nitride,5,0.3,0.9391538346539094,4.085730075836182
tier3,bg,42,nitride,10,0.1,0.9817474566128067,6.321928977966309
tier3,bg,42,nitride,10,0.2,0.9817474566128067,6.321928977966309
tier3,bg,42,nitride,10,0.3,0.9392579293836026,4.08573055267334
tier3,bg,42,nitride,25,0.1,0.9817064027590343,6.321928977966309
tier3,bg,42,nitride,25,0.2,0.9172289698605488,3.5708000659942627
tier3,bg,42,nitride,25,0.3,0.7990703253861149,2.039875030517578
tier3,bg,42,nitride,50,0.1,0.9843467790487658,6.652762413024902
tier3,bg,42,nitride,50,0.2,0.8664960866947622,2.7775847911834717
tier3,bg,42,nitride,50,0.3,0.6909993979530403,1.285038948059082
tier3,bg,42,nitride,100,0.1,0.9202305125872005,3.637518882751465
tier3,bg,42,nitride,100,0.2,0.8262056414922657,2.293546438217163
tier3,bg,42,nitride,100,0.3,0.6915377616014559,1.2907239198684692
tier3,bg,42,halide,5,0.1,0.9165406713032961,7.312507152557373
tier3,bg,42,halide,5,0.2,0.9165406713032961,7.312507152557373
tier3,bg,42,halide,5,0.3,0.9165406713032961,7.312507152557373
tier3,bg,42,halide,10,0.1,0.9165154264972777,7.312507152557373
tier3,bg,42,halide,10,0.2,0.9165154264972777,7.312507152557373
tier3,bg,42,halide,10,0.3,0.9114942528735632,7.1546478271484375
tier3,bg,42,halide,25,0.1,0.9989100817438692,14.278212547302246
tier3,bg,42,halide,25,0.2,0.8871329094762337,6.568076133728027
tier3,bg,42,halide,25,0.3,0.8422040569179534,5.589653968811035
tier3,bg,42,halide,50,0.1,0.9114008489993936,7.1546478271484375
tier3,bg,42,halide,50,0.2,0.8421467556094603,5.589653968811035
tier3,bg,42,halide,50,0.3,0.7447543966040024,4.025790214538574
tier3,bg,42,halide,100,0.1,0.919647201946472,7.396219253540039
tier3,bg,42,halide,100,0.2,0.8453771289537713,5.660911560058594
tier3,bg,42,halide,100,0.3,0.7514598540145986,4.105587005615234
