tier,split,target,seed,test_set,alpha,coverage,mean_width
tier1,domshift,ef,456,test_ood_halide,0.2,0.1647521160822249,0.28158286368047764
tier1,domshift,ef,456,test_ood_halide,0.3,0.11632406287787182,0.19456895222317347
tier1,domshift,bg,42,test_id,0.1,0.9063475546305931,2.604092710221147
tier1,domshift,bg,42,test_id,0.2,0.7973465140478668,1.6848839145035366
tier1,domshift,bg,42,test_id,0.3,0.7018730489073881,1.2184810525974425
tier1,domshift,bg,42,test_ood_sulfide,0.1,0.8927199086094091,2.6040927102211473
tier1,domshift,bg,42,test_ood_sulfide,0.2,0.7473257866860525,1.6848839145035368
tier1,domshift,bg,42,test_ood_sulfide,0.3,0.6293488420396718,1.2184810525974423
tier1,domshift,bg,42,test_ood_nitride,0.1,0.8282043621153271,2.604092710221147
tier1,domshift,bg,42,test_ood_nitride,0.2,0.6803107260233044,1.6848839145035364
tier1,domshift,bg,42,test_ood_nitride,0.3,0.5899312817448461,1.218481052597443
tier1,domshift,bg,42,test_ood_halide,0.1,0.6001209189842805,2.6040927102211464
tier1,domshift,bg,42,test_ood_halide,0.2,0.42237001209189845,1.6848839145035366
tier1,domshift,bg,42,test_ood_halide,0.3,0.31934703748488513,1.2184810525974428
tier1,domshift,bg,123,test_id,0.1,0.9077783558792925,2.550430696833797
tier1,domshift,bg,123,test_id,0.2,0.8054110301768991,1.7108160943480537
tier1,domshift,bg,123,test_id,0.3,0.6999219562955254,1.2275287268788095
tier1,domshift,bg,123,test_ood_sulfide,0.1,0.876207290476685,2.5504306968337964
tier1,domshift,bg,123,test_ood_sulfide,0.2,0.7185585211340741,1.7108160943480537
tier1,domshift,bg,123,test_ood_sulfide,0.3,0.5608058988472323,1.2275287268788098
tier1,domshift,bg,123,test_ood_nitride,0.1,0.8026590976994323,2.5504306968337973
tier1,domshift,bg,123,test_ood_nitride,0.2,0.6779205258440394,1.7108160943480535
tier1,domshift,bg,123,test_ood_nitride,0.3,0.563489692261727,1.2275287268788095
tier1,domshift,bg,123,test_ood_halide,0.1,0.5869407496977025,2.5504306968337978
tier1,domshift,bg,123,test_ood_halide,0.2,0.4218863361547763,1.7108160943480537
tier1,domshift,bg,123,test_ood_halide,0.3,0.3087061668681983,1.2275287268788095
tier1,domshift,bg,456,test_id,0.1,0.9068678459937565,2.6010432655851328
tier1,domshift,bg,456,test_id,0.2,0.8009885535900104,1.6936655013814568
tier1,domshift,bg,456,test_id,0.3,0.7030437044745057,1.237692774247633
tier1,domshift,bg,456,test_ood_sulfide,0.1,0.8878388202305535,2.601043265585133
tier1,domshift,bg,456,test_ood_sulfide,0.2,0.7177276975802264,1.693665501381457
tier1,domshift,bg,456,test_ood_sulfide,0.3,0.578357046422266,1.237692774247633
tier1,domshift,bg,456,test_ood_nitride,0.1,0.8247684493576337,2.6010432655851328
tier1,domshift,bg,456,test_ood_nitride,0.2,0.674484613086346,1.693665501381457
tier1,domshift,bg,456,test_ood_nitride,0.3,0.5464595159844637,1.2376927742476331
tier1,domshift,bg,456,test_ood_halide,0.1,0.6022974607013301,2.6010432655851328
tier1,domshift,bg,456,test_ood_halide,0.2,0.4313784764207981,1.6936655013814572
tier1,domshift,bg,456,test_ood_halide,0.3,0.3232769044740024,1.2376927742476331
tier2,standard,ef,42,test,0.1,0.8997366821956654,0.4516705172340645
tier2,standard,ef,42,test,0.2,0.7986631557626088,0.28274188384785454
tier2,standard,ef,42,test,0.3,0.7008304638444399,0.20397237381526878
tier2,standard,ef,123,test,0.1,0.8956856390520559,0.43791723178573877
tier2,standard,ef,123,test,0.2,0.7966376341908041,0.28835114781645027
tier2,standard,ef,123,test,0.3,0.6943487948146648,0.20648479588101007
tier2,standard,ef,456,test,0.1,0.8938626696374317,0.4291948707387289
tier2,standard,ef,456,test,0.2,0.7893457565323071,0.28283007040788277
tier2,standard,ef,456,test,0.3,0.6821956653838364,0.20248074545129238
tier2,standard,bg,42,test,0.1,0.9031800688677334,2.206441114523117
tier2,standard,bg,42,test,0.2,0.805144824792384,1.4810558691445357
tier2,standard,bg,42,test,0.3,0.7121733846465464,1.0643525808045167
tier2,standard,bg,123,test,0.1,0.9009519951387482,2.158919966184815
tier2,standard,bg,123,test,0.2,0.8055499291067449,1.4571308780036063
tier2,standard,bg,123,test,0.3,0.7101478630747418,1.040766758386132
tier2,standard,bg,456,test,0.1,0.8989264735669434,2.1761729129135845
tier2,standard,bg,456,test,0.2,0.7923840388900142,1.4226733143329449
tier2,standard,bg,456,test,0.3,0.6959692120721086,1.041934312185225
tier2,domshift,ef,42,test_id,0.1,0.9043896572459411,0.5893820341237097
tier2,domshift,ef,42,test_id,0.2,0.8051713770294648,0.38567097000892137
tier2,domshift,ef,42,test_id,0.3,0.708959711365003,0.27125650319685013
tier2,domshift,ef,42,test_ood_sulfide,0.1,0.6427458718454668,0.5893820341237097
tier2,domshift,ef,42,test_ood_sulfide,0.2,0.45269498390279367,0.38567097000892137
tier2,domshift,ef,42,test_ood_sulfide,0.3,0.3220479800602347,0.27125650319685013
tier2,domshift,ef,42,test_ood_nitride,0.1,0.17777113833283537,0.5893820341237098
tier2,domshift,ef,42,test_ood_nitride,0.2,0.11682103376157753,0.38567097000892137
tier2,domshift,ef,42,test_ood_nitride,0.3,0.08604720645354048,0.27125650319685013
tier2,domshift,ef,42,test_ood_halide,0.1,0.2696642905014318,0.5893820341237096
tier2,domshift,ef,42,test_ood_halide,0.2,0.18296472308535916,0.38567097000892137
tier2,domshift,ef,42,test_ood_halide,0.3,0.13233412538841163,0.2712565031968502
tier2,domshift,ef,123,test_id,0.1,0.9122068550811786,0.5418531201303455
tier2,domshift,ef,123,test_id,0.2,0.8141912206855081,0.35571045562469195
tier2,domshift,ef,123,test_id,0.3,0.7185808779314492,0.265637137602456
tier2,domshift,ef,123,test_ood_sulfide,0.1,0.5355696333991069,0.5418531201303454
tier2,domshift,ef,123,test_ood_sulfide,0.2,0.3682625402430159,0.35571045562469195
tier2,domshift,ef,123,test_ood_sulfide,0.3,0.27936441998130646,0.265637137602456
tier2,domshift,ef,123,test_ood_nitride,0.1,0.16552136241410217,0.5418531201303454
tier2,domshift,ef,123,test_ood_nitride,0.2,0.10651329548849717,0.3557104556246919
tier2,domshift,ef,123,test_ood_nitride,0.3,0.07887660591574544,0.265637137602456
tier2,domshift,ef,123,test_ood_halide,0.1,0.26351063181624323,0.5418531201303454
tier2,domshift,ef,123,test_ood_halide,0.2,0.17961372083104857,0.35571045562469195
tier2,domshift,ef,123,test_ood_halide,0.3,0.1356242003290075,0.265637137602456
tier2,domshift,ef,456,test_id,0.1,0.8965724594107035,0.5707661300747784
tier2,domshift,ef,456,test_id,0.2,0.8021647624774504,0.36670685584718843
tier2,domshift,ef,456,test_id,0.3,0.703547805171377,0.2573897266120575
tier2,domshift,ef,456,test_ood_sulfide,0.1,0.5074254855125143,0.5707661300747784
tier2,domshift,ef,456,test_ood_sulfide,0.2,0.3329525392044864,0.36670685584718843
tier2,domshift,ef,456,test_ood_sulfide,0.3,0.2347076539619898,0.2573897266120575
tier2,domshift,ef,456,test_ood_nitride,0.1,0.16447564983567373,0.5707661300747784
tier2,domshift,ef,456,test_ood_nitride,0.2,0.10681207051090529,0.3667068558471885
tier2,domshift,ef,456,test_ood_nitride,0.3,0.07095906782193008,0.2573897266120575
tier2,domshift,ef,456,test_ood_halide,0.1,0.26405897763967584,0.5707661300747784
tier2,domshift,ef,456,test_ood_halide,0.2,0.17644550051788216,0.3667068558471884
tier2,domshift,ef,456,test_ood_halide,0.3,0.12666788521294095,0.25738972661205756
tier2,domshift,bg,42,test_id,0.1,0.9001803968731209,2.7001146143794803
tier2,domshift,bg,42,test_id,0.2,0.8027660853878533,1.9061083761807511
tier2,domshift,bg,42,test_id,0.3,0.6981358989777511,1.4395198559390363
tier2,domshift,bg,42,test_ood_sulfide,0.1,0.8915775262228685,2.7001146143794803
tier2,domshift,bg,42,test_ood_sulfide,0.2,0.7423408453629661,1.9061083761807511
tier2,domshift,bg,42,test_ood_sulfide,0.3,0.5991276352684599,1.4395198559390363
tier2,domshift,bg,42,test_ood_nitride,0.1,0.7998207349865551,2.7001146143794803
tier2,domshift,bg,42,test_ood_nitride,0.2,0.6371377352853301,1.9061083761807511
tier2,domshift,bg,42,test_ood_nitride,0.3,0.5121003884075291,1.4395198559390359
tier2,domshift,bg,42,test_ood_halide,0.1,0.649119600316822,2.7001146143794807
tier2,domshift,bg,42,test_ood_halide,0.2,0.5119722171449461,1.9061083761807507
tier2,domshift,bg,42,test_ood_halide,0.3,0.4164381892402364,1.4395198559390363
tier2,domshift,bg,123,test_id,0.1,0.899579073962718,2.6397706331342228
tier2,domshift,bg,123,test_id,0.2,0.8099819603126879,1.9313719928707296
tier2,domshift,bg,123,test_id,0.3,0.7125676488274203,1.4217873154997211
tier2,domshift,bg,123,test_ood_sulfide,0.1,0.8928237615536401,2.639770633134223
tier2,domshift,bg,123,test_ood_sulfide,0.2,0.7529338456745249,1.931371992870729
tier2,domshift,bg,123,test_ood_sulfide,0.3,0.6002700176550005,1.4217873154997211
tier2,domshift,bg,123,test_ood_nitride,0.1,0.7694950702121303,2.6397706331342228
tier2,domshift,bg,123,test_ood_nitride,0.2,0.6198087839856588,1.9313719928707294
tier2,domshift,bg,123,test_ood_nitride,0.3,0.48565879892440994,1.4217873154997211
tier2,domshift,bg,123,test_ood_halide,0.1,0.6289526594772437,2.639770633134222
tier2,domshift,bg,123,test_ood_halide,0.2,0.5038079571071712,1.9313719928707296
tier2,domshift,bg,123,test_ood_halide,0.3,0.3945043563029306,1.4217873154997211
tier2,domshift,bg,456,test_id,0.1,0.9061936259771497,2.6517600225936624
tier2,domshift,bg,456,test_id,0.2,0.8171978352375225,1.8974967063204415
tier2,domshift,bg,456,test_id,0.3,0.7282020444978954,1.4587025728009297
tier2,domshift,bg,456,test_ood_sulfide,0.1,0.8849309377920864,2.6517600225936615
tier2,domshift,bg,456,test_ood_sulfide,0.2,0.7460795513552809,1.897496706320441
tier2,domshift,bg,456,test_ood_sulfide,0.3,0.6223906947761969,1.45870257280093
tier2,domshift,bg,456,test_ood_nitride,0.1,0.8175978488198387,2.651760022593662
tier2,domshift,bg,456,test_ood_nitride,0.2,0.6729907379743053,1.8974967063204418
tier2,domshift,bg,456,test_ood_nitride,0.3,0.561248879593666,1.4587025728009297
tier2,domshift,bg,456,test_ood_halide,0.1,0.6496070188265399,2.651760022593662
tier2,domshift,bg,456,test_ood_halide,0.2,0.5069152501066228,1.897496706320442
tier2,domshift,bg,456,test_ood_halide,0.3,0.41284347773106683,1.4587025728009302
