feature,mean_abs_shap,tier
MagpieData avg_dev NsUnfilled,0.005426080530666826,tier1
MagpieData mode Number,0.005405492666063637,tier1
MagpieData mean NfUnfilled,0.005263825258025687,tier1
MagpieData range NValence,0.004449746837761174,tier1
MagpieData maximum MendeleevNumber,0.004270860371525415,tier1
MagpieData range NdValence,0.004174819003418012,tier1
MagpieData maximum Number,0.004166281670412987,tier1
MagpieData range MendeleevNumber,0.004068321638153298,tier1
MagpieData minimum NValence,0.004018109050272003,tier1
MagpieData avg_dev Number,0.003960198257061747,tier1
MagpieData maximum Column,0.0037283363979248242,tier1
MagpieData mean NdUnfilled,0.0037117112842915034,tier1
MagpieData avg_dev AtomicWeight,0.003645135810997708,tier1
MagpieData mode MendeleevNumber,0.0033369566985752804,tier1
MagpieData range AtomicWeight,0.0032556570545988505,tier1
MagpieData maximum GSvolume_pa,0.0031775018133610423,tier1
MagpieData mode CovalentRadius,0.0029851700327629235,tier1
MagpieData mean AtomicWeight,0.0028262449423965916,tier1
MagpieData minimum GSvolume_pa,0.0024311213277219165,tier1
MagpieData avg_dev NfValence,0.0023327762722887544,tier1
MagpieData maximum NfUnfilled,0.0021886683837462734,tier1
MagpieData minimum MeltingT,0.0021302458130746512,tier1
MagpieData range Number,0.0020802806915510234,tier1
MagpieData mode GSvolume_pa,0.0020714196769176943,tier1
MagpieData range Column,0.0020652155679316774,tier1
MagpieData mean NfValence,0.002000649422878556,tier1
MagpieData mode AtomicWeight,0.0018145805721055438,tier1
MagpieData mode NpUnfilled,0.0016386505492901587,tier1
MagpieData avg_dev NfUnfilled,0.0015917702735371703,tier1
MagpieData maximum SpaceGroupNumber,0.0014793440901185368,tier1
MagpieData range NdUnfilled,0.0014327426228216832,tier1
MagpieData maximum AtomicWeight,0.0013455184049648925,tier1
MagpieData minimum AtomicWeight,0.0012162899913077682,tier1
MagpieData range Row,0.0011487103099428616,tier1
MagpieData mode NdValence,0.0010764719765613516,tier1
MagpieData mode NUnfilled,0.0009693593337438617,tier1
MagpieData maximum GSmagmom,0.0009505324932438953,tier1
MagpieData range NsValence,0.0009328336117883447,tier1
MagpieData mode GSbandgap,0.0007956347390493548,tier1
MagpieData range NfUnfilled,0.0007816070825696874,tier1
MagpieData maximum NfValence,0.0007708820840187207,tier1
MagpieData mode Column,0.000611350772760142,tier1
MagpieData minimum CovalentRadius,0.0004923073548747795,tier1
MagpieData range NpValence,0.0004824691939453964,tier1
MagpieData minimum NpUnfilled,0.00032474497371326303,tier1
MagpieData minimum NsValence,0.0002749872033064132,tier1
MagpieData mode NValence,0.00026847699927268323,tier1
MagpieData mode NsValence,0.00025106478091043826,tier1
MagpieData range NfValence,0.0002466592286392094,tier1
MagpieData minimum GSbandgap,0.00019180585377378184,tier1
MagpieData mode NdUnfilled,0.00018756421940887522,tier1
MagpieData minimum NpValence,0.0001440316967579896,tier1
MagpieData range GSmagmom,0.00013849802911340158,tier1
MagpieData mode NpValence,9.54978980420234e-05,tier1
MagpieData maximum NsUnfilled,7.977333319902479e-05,tier1
MagpieData mode GSmagmom,4.6525299891780265e-05,tier1
MagpieData minimum NdValence,2.6753639851987132e-05,tier1
MagpieData mode NsUnfilled,1.9080474061573285e-05,tier1
MagpieData maximum NpValence,1.5103712026332713e-05,tier1
MagpieData maximum Row,1.3793430923740347e-05,tier1
MagpieData range NsUnfilled,1.2947322280711586e-05,tier1
MagpieData mode NfUnfilled,6.461602748205974e-06,tier1
MagpieData mode Row,4.777801484655717e-06,tier1
MagpieData mode NfValence,3.3225247082375176e-06,tier1
MagpieData minimum Row,1.039708511049362e-06,tier1
MagpieData maximum NsValence,0.0,tier1
MagpieData minimum NfValence,0.0,tier1
MagpieData minimum NsUnfilled,0.0,tier1
MagpieData minimum NdUnfilled,0.0,tier1
MagpieData minimum NfUnfilled,0.0,tier1
MagpieData minimum GSmagmom,0.0,tier1
